I	I[ALFS]

llaqtan	llaqta[NRoot][=pueblo][^DB][--]n[NPers][+3.Sg.Poss]

llaqtanta	llaqta[NRoot][=pueblo][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]ta[Cas][+Acc]

purispa	puri[VRoot][=andar][^DB][--]spa[NS][+SS]

tapusqa	tapu[VRoot][=preguntar][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

:	:[$,]

-	-[$-]

Ima	Ima[NRoot][=cosa]

llank'anatan	llank'a[VRoot][=trabajar][^DB][--]na[NS][+Obl][^DB][--]ta[Cas][+Acc][^DB][--]n[Amb][+DirE]

qonayta	qu[VRoot][=dar][^DB][--]na[NS][+Obl][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]ta[Cas][+Acc]

munankichis	muna[VRoot][=querer][^DB][--]nkichis[VPers][+2.Pl.Subj]

?	?[$,]

Inkarreytaq	Inkarrey[NRootES][^DB][--]taq[Amb][+Con_Intr]

contestasqa	contesta[VRootES][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

:	:[$,]

-	-[$-]

Noqaykoqa	Nuqayku[PrnPers+1.Pl.Excl][^DB][--]qa[Amb][+Top]

manan	mana[Part_Neg][^DB][--]n[Amb][+DirE]

mayqen	mayqin[NRoot][=algún]

kaq	ka[VRoot][=ser][^DB][--]q[NS][+Ag]

llank'anaykitapas	llank'a[VRoot][=trabajar][^DB][--]na[NS][+Obl][^DB][--]yki[NPers][+2.Sg.Poss][^DB][--]ta[Cas][+Acc][^DB][--]pas[Amb][+Add]

munaykuchu	muna[VRoot][=querer][^DB][--]yku[VPers][+1.Pl.Excl.Subj][^DB][--]chu[Amb][+Intr_Neg]

.	.[$,]

Makiykupin	Maki[NRoot][=mano][^DB][--]yku[NPers][+1.Pl.Excl.Poss][^DB][--]pi[Cas][+Loc][^DB][--]n[Amb][+DirE]

ima	ima[NRoot][=cosa]

llank'anapas	llank'a[VRoot][=trabajar][^DB][--]na[NS][+Obl][^DB][--]pas[Amb][+Add]

,	,[$,]

llank'anata	llank'a[VRoot][=trabajar][^DB][--]na[NS][+Obl][^DB][--]ta[Cas][+Acc]

munaspaykoqa	muna[VRoot][=querer][^DB][--]spa[NS][+SS][^DB][--]yku[NPers][+1.Pl.Excl.Poss][^DB][--]qa[Amb][+Top]

.	.[$,]

Chhaynata	Chhayna[PrnDem][^DB][--]ta[Cas][+Acc]

contestasqaku	contesta[VRootES][^DB][--]sqaku[VPers][+3.Pl.IPst]

:	:[$,]

-	-[$-]

Noqaykoqa	Nuqayku[PrnPers+1.Pl.Excl][^DB][--]qa[Amb][+Top]

rumita	rumi[NRoot][=piedra][^DB][--]ta[Cas][+Acc]

purichiyta	puri[VRoot][=andar][^DB][--]chi[VDeriv][+Caus][^DB][--]y[NS][+Inf][^DB][--]ta[Cas][+Acc]

yachayku	yacha[VRoot][=saber,habitar][^DB][--]yku[VPers][+1.Pl.Excl.Subj]

,	,[$,]

huk	huk[NRootNUM]

wark'allawan	wark'a[NRoot][=arma_inkaica][^DB][--]lla[Amb][+Lim_Aff][^DB][--]wan[Cas][+Con_Inst]

urqokunata	urqu[NRoot][=cerro][--]kuna[Num][+Pl][^DB][--]ta[Cas][+Acc]

wayq'okunata	wayq'u[NRoot][=quebrada][--]kuna[Num][+Pl][^DB][--]ta[Cas][+Acc]

hatarichiyku	hata[VRoot][=levantarse][--]ri[VDeriv][+Inch][^DB][--]chi[VDeriv][+Caus][^DB][--]yku[VPers][+1.Pl.Excl.Subj]

.	.[$,]

Manan	Mana[Part_Neg][^DB][--]n[Amb][+DirE]

imatapas	ima[NRoot][=cosa][^DB][--]ta[Cas][+Acc][^DB][--]pas[Amb][+Add]

munaykuchu	muna[VRoot][=querer][^DB][--]yku[VPers][+1.Pl.Excl.Subj][^DB][--]chu[Amb][+Intr_Neg]

,	,[$,]

imaymanatan	imaymana[NRoot][=toda_clase_de,todos][^DB][--]ta[Cas][+Acc][^DB][--]n[Amb][+DirE]

yachayku	yacha[VRoot][=saber,habitar][^DB][--]yku[VPers][+1.Pl.Excl.Subj]

.	.[$,]

Bueno	Bueno[SP]

,	,[$,]

chay	chay[PrnDem]

Diosqa	Dios[NRootES][^DB][--]qa[Amb][+Top]

kasqa	ka[VRoot][=ser][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

iskay	iskay[NRootNUM]

uyayoq	uya[NRoot][=cara][^DB][--]yuq[NDeriv][+Poss]

,	,[$,]

hinaspa	hina[VRoot][=hacer_así,ser_así][^DB][--]spa[NS][+SS]

ñawpa	ñawpa[NRoot][=antes]

machulanchis	machula[NRoot][=abuelo][^DB][--]nchis[NPers][+1.Pl.Incl.Poss]

Inkaq	Inka[NRoot][=inca][^DB][--]q[Cas][+Gen]

enemigonman	enemigo[NRootES][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]man[Cas][+Dat_Ill]

risqa	ri[VRoot][=ir][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

,	,[$,]

Españata	España[NP][^DB][--]ta[Cas][+Acc]

llaqtan	llaqta[NRoot][=pueblo][^DB][--]n[NPers][+3.Sg.Poss]

llaqtan	llaqta[NRoot][=pueblo][^DB][--]n[NPers][+3.Sg.Poss]

pureqllataq	puri[VRoot][=andar][^DB][--]q[NS][+Ag][^DB][--]lla[Amb][+Lim_Aff][^DB][--]taq[Amb][+Con_Intr]

hinaspa	hina[VRoot][=hacer_así,ser_así][^DB][--]spa[NS][+SS]

nisqa	ni[VRoot][=decir][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

:	:[$,]

-	-[$-]

Imatan	Ima[NRoot][=cosa][^DB][--]ta[Cas][+Acc][^DB][--]n[Amb][+DirE]

munankichis	muna[VRoot][=querer][^DB][--]nkichis[VPers][+2.Pl.Subj]

?	?[$,]

Trabajota	Trabajo[NRootES][^DB][--]ta[Cas][+Acc]

qosaykichis	qu[VRoot][=dar][^DB][--]sqaykichis[VPers][+1.Sg.Subj_2.Pl.Obj.Fut]

.	.[$,]

Mañawaychis	Maña[VRoot][=pedir][^DB][--]wa[VPers][+1.Obj][^DB][--]ychis[VPers][+2.Pl.Subj.Imp]

iman	ima[NRoot][=cosa][^DB][--]n[Amb][+DirE]

munasqaykichista	muna[VRoot][=querer][^DB][--]sqa[NS][+Perf][^DB][--]ykichis[NPers][+2.Pl.Poss][^DB][--]ta[Cas][+Acc]

.	.[$,]

Mientras	Mientras	+?

Inka	Inka[NRoot][=inca]

despreciasqa	desprecia[VRootES][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

,	,[$,]

kay	kay[PrnDem]

España	España[NP]

llaqtapeqa	llaqta[NRoot][=pueblo][^DB][--]pi[Cas][+Loc][^DB][--]qa[Amb][+Top]

llipinku	llipi[NRoot][=todo][^DB][--]nku[NPers][+3.Pl.Poss]

karanku	ka[VRoot][=ser][^DB][--]ra[Tns][+NPst][--]nku[VPers][+3.Pl.Subj]

ambicioso	ambicioso[NRootES]

hinaspa	hina[VRoot][=hacer_así,ser_así][^DB][--]spa[NS][+SS]

imaymanata	imaymana[NRoot][=toda_clase_de,todos][^DB][--]ta[Cas][+Acc]

mañakusqaku	maña[VRoot][=pedir][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]sqaku[VPers][+3.Pl.IPst]

:	:[$,]

-	-[$-]

Kayta	Kay[PrnDem][^DB][--]ta[Cas][+Acc]

,	,[$,]

haqayta	haqay[PrnDem][^DB][--]ta[Cas][+Acc]

munayku	muna[VRoot][=querer][^DB][--]yku[VPers][+1.Pl.Excl.Subj]

,	,[$,]

-	-[$-]

nispa	ni[VRoot][=decir][^DB][--]spa[NS][+SS]

.	.[$,]

Chaymi	Chay[PrnDem][^DB][--]mi[Amb][+DirE]

kunan	kunan[NRoot][=ahora]

,	,[$,]

noqanchis	nuqanchis[PrnPers+1.Pl.Incl]

runakunaqa	runa[NRoot][=ser_humano][--]kuna[Num][+Pl][^DB][--]qa[Amb][+Top]

mana	mana[Part_Neg]

yachanchischu	yacha[VRoot][=saber,habitar][^DB][--]nchis[VPers][+1.Pl.Incl.Subj][^DB][--]chu[Amb][+Intr_Neg]

maquinakuna	maquina[NRootES][--]kuna[Num][+Pl]

purichiyta	puri[VRoot][=andar][^DB][--]chi[VDeriv][+Caus][^DB][--]y[NS][+Inf][^DB][--]ta[Cas][+Acc]

,	,[$,]

carrokunata	carro[NRootES][--]kuna[Num][+Pl][^DB][--]ta[Cas][+Acc]

,	,[$,]

chay	chay[PrnDem]

aparatokuna	aparato[NRootES][--]kuna[Num][+Pl]

altonta	alto[NRootES][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]ta[Cas][+Acc]

purin	puri[VRoot][=andar][^DB][--]n[VPers][+3.Sg.Subj]

pichinchu	pichinchu[NRoot][=ave]

hina	hina[Part_Sim]

,	,[$,]

helicópteros	helicopteros[NRootES]

,	,[$,]

avionkunata	avión[NRootES][--]kuna[Num][+Pl][^DB][--]ta[Cas][+Acc]

.	.[$,]

Mana	Mana[Part_Neg]

mayqen	mayqin[NRoot][=algún]

kaq	ka[VRoot][=ser][^DB][--]q[NS][+Ag]

aparatokunata	aparato[NRootES][--]kuna[Num][+Pl][^DB][--]ta[Cas][+Acc]

rurayta	rura[VRoot][=hacer][^DB][--]y[NS][+Inf][^DB][--]ta[Cas][+Acc]

yachanchischu	yacha[VRoot][=saber,habitar][^DB][--]nchis[VPers][+1.Pl.Incl.Subj][^DB][--]chu[Amb][+Intr_Neg]

,	,[$,]

pero	pero[NRootES]

chay	chay[PrnDem]

españakunaqa	españa[NP][--]kuna[Num][+Pl][^DB][--]qa[Amb][+Top]

practico	practico[NRootES]

kanku	ka[VRoot][=ser][^DB][--]nku[VPers][+3.Pl.Subj]

,	,[$,]

imaymanata	imaymana[NRoot][=toda_clase_de,todos][^DB][--]ta[Cas][+Acc]

yachanku	yacha[VRoot][=saber,habitar][^DB][--]nku[VPers][+3.Pl.Subj]

.	.[$,]

Chhaynata	Chhayna[PrnDem][^DB][--]ta[Cas][+Acc]

huk	huk[NRootNUM]

wiraqocha	wira[NRoot][=grasa]qucha[NRoot][=lago]

España	España[NP]

luzta	luz[NRootES][^DB][--]ta[Cas][+Acc]

inventasqa	inventa[VRootES][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

unuta	unu[NRoot][=agua][^DB][--]ta[Cas][+Acc]

qhawaspalla	qhawa[VRoot][=mirar][^DB][--]spa[NS][+SS][^DB][--]lla[Amb][+Lim_Aff]

huk	huk[NRootNUM]

vidriokunawan	vidrio[NRootES][--]kuna[Num][+Pl][^DB][--]wan[Cas][+Con_Inst]

inventasqa	inventa[VRootES][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

focoq	foco[NRootES][^DB][--]q[Cas][+Gen]

luzninta	luz[NRootES][^DB][--]nin[NPers][+3.Sg.Poss][^DB][--]ta[Cas][+Acc]

.	.[$,]

Kunanpunipas	Kunan[NRoot][=ahora][^DB][--]puni[Amb][+Def][^DB][--]pas[Amb][+Add]

,	,[$,]

kay	kay[PrnDem]

luzqa	luz[NRootES][^DB][--]qa[Amb][+Top]

Calca	Calca[NP]

unumantan	unu[NRoot][=agua][^DB][--]manta[Cas][+Abl][^DB][--]n[Amb][+DirE]

.	.[$,]

Khaynan	Khayna[PrnDem][^DB][--]n[Amb][+DirE]

Inka	Inka[NRoot][=inca]

,	,[$,]

Inkarrenchis	Inkarrenchis	+?

sobrado	sobrado[NRootES]

karan	ka[VRoot][=ser][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

,	,[$,]

mana	mana[Part_Neg]

trabajota	trabajo[NRootES][^DB][--]ta[Cas][+Acc]

munaranchu	muna[VRoot][=querer][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj][^DB][--]chu[Amb][+Intr_Neg]

.	.[$,]

Pero	Pero[NRootES]

chay	chay[PrnDem]

españakunaqa	españa[NP][--]kuna[Num][+Pl][^DB][--]qa[Amb][+Top]

,	,[$,]

imaymana	imaymana[NRoot][=toda_clase_de,todos]

trabajota	trabajo[NRootES][^DB][--]ta[Cas][+Acc]

mañakusqaku	maña[VRoot][=pedir][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]sqaku[VPers][+3.Pl.IPst]

"	"[$,]

noqayku	nuqayku[PrnPers+1.Pl.Excl]

munayku	muna[VRoot][=querer][^DB][--]yku[VPers][+1.Pl.Excl.Subj]

"	"[$,]

nispa	ni[VRoot][=decir][^DB][--]spa[NS][+SS]

.	.[$,]

Chaymi	Chay[PrnDem][^DB][--]mi[Amb][+DirE]

paykunaqa	pay[PrnPers+3.Sg][--]kuna[Num][+Pl][^DB][--]qa[Amb][+Top]

kunan	kunan[NRoot][=ahora]

llank'anku	llank'a[VRoot][=trabajar][^DB][--]nku[VPers][+3.Pl.Subj]

carrota	carro[NRootES][^DB][--]ta[Cas][+Acc]

,	,[$,]

maquinakunata	maquina[NRootES][--]kuna[Num][+Pl][^DB][--]ta[Cas][+Acc]

,	,[$,]

fierro	fierro[NRootES]

mankakunata	manka[NRoot][=olla][--]kuna[Num][+Pl][^DB][--]ta[Cas][+Acc]

,	,[$,]

todo	todo[NRootES]

.	.[$,]

Mana	Mana[Part_Neg]

noqanchis	nuqanchis[PrnPers+1.Pl.Incl]

rurasqanchiskunata	rura[VRoot][=hacer][^DB][--]sqa[NS][+Perf][^DB][--]nchis[NPers][+1.Pl.Incl.Poss][--]kuna[Num][+Pl][^DB][--]ta[Cas][+Acc]

.	.[$,]

Chayqa	Chay[PrnDem][^DB][--]qa[Amb][+Top]

kasqa	ka[VRoot][=ser][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

,	,[$,]

paykunamantaq	pay[PrnPers+3.Sg][--]kuna[Num][+Pl][^DB][--]man[Cas][+Dat_Ill][^DB][--]taq[Amb][+Con_Intr]

Dios	Dios[NRootES]

kikin	kiki[NRoot][=mismo][^DB][--]n[NPers][+3.Sg.Poss]

kay	kay[PrnDem]

trabajokunata	trabajo[NRootES][--]kuna[Num][+Pl][^DB][--]ta[Cas][+Acc]

qoran	qu[VRoot][=dar][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

,	,[$,]

mana	mana[Part_Neg]

noqanchis	nuqanchis[PrnPers+1.Pl.Incl]

hinachu	hina[Part_Sim][^DB][--]chu[Amb][+Intr_Neg]

despreciaranchis	desprecia[VRootES][^DB][--]ra[Tns][+NPst][--]nchis[VPers][+1.Pl.Incl.Subj]

Taytachaq	Tayta[NRoot][=padre][--]cha[NDeriv][+Dim][^DB][--]q[Cas][+Gen]

donninta	donninta	+?

.	.[$,]

Noqanchisqa	Nuqanchis[PrnPers+1.Pl.Incl][^DB][--]qa[Amb][+Top]

kanchis	ka[VRoot][=ser][^DB][--]nchis[VPers][+1.Pl.Incl.Subj]

peruanos	peruanos[NRootES]

,	,[$,]

indígenas	indígenas[NRootES]

,	,[$,]

paykunaq	pay[PrnPers+3.Sg][--]kuna[Num][+Pl][^DB][--]q[Cas][+Gen]

karanku	ka[VRoot][=ser][^DB][--]ra[Tns][+NPst][--]nku[VPers][+3.Pl.Subj]

Inka	Inka[NRoot][=inca]

runa	runa[NRoot][=ser_humano]

,	,[$,]

pero	pero[NRootES]

churinkunan	churi[NRoot][=hijo][^DB][--]n[NPers][+3.Sg.Poss][--]kuna[Num][+Pl][^DB][--]n[Amb][+DirE]

kanchis	ka[VRoot][=ser][^DB][--]nchis[VPers][+1.Pl.Incl.Subj]

,	,[$,]

chaymantan	chay[PrnDem][^DB][--]manta[Cas][+Abl][^DB][--]n[Amb][+DirE]

wañuchiranku	wañu[VRoot][=morir][^DB][--]chi[VDeriv][+Caus][^DB][--]ra[Tns][+NPst][--]nku[VPers][+3.Pl.Subj]

chay	chay[PrnDem]

españakunapas	españa[NP][--]kuna[Num][+Pl][^DB][--]pas[Amb][+Add]

Tupaq	Tupaq[NRoot][=noble]

Amaruta	Amaru[NRoot][=serpiente][^DB][--]ta[Cas][+Acc]

.	.[$,]

Imaynan	Imayna[PrnInterr][=cómo][^DB][--]n[Amb][+DirE]

riki	riki[NRoot][=por_supuesto]

kunan	kunan[NRoot][=ahora]

Santa	Santa[SP]

Teresa	Teresa[NP]

,	,[$,]

San	San[NP]

Pedropi	Pedro[NP][^DB][--]pi[Cas][+Loc]

monjakuna	monja[NRootES][--]kuna[Num][+Pl]

kan	ka[VRoot][=ser][^DB][--]n[VPers][+3.Sg.Subj]

,	,[$,]

khaynallataqsi	khayna[PrnDem][^DB][--]lla[Amb][+Lim_Aff][^DB][--]taq[Amb][+Con_Intr][^DB][--]si[Amb][+IndE]

inkaq	inka[NRoot][=inca][^DB][--]q[Cas][+Gen]

warminkuna	warmi[NRoot][=mujer][^DB][--]n[NPers][+3.Sg.Poss][--]kuna[Num][+Pl]

kaq	ka[VRoot][=ser][^DB][--]q[NS][+Ag]

.	.[$,]

Chay	Chay[PrnDem]

warmikunata	warmi[NRoot][=mujer][--]kuna[Num][+Pl][^DB][--]ta[Cas][+Acc]

horqospan	hurqu[VRoot][=sacar][^DB][--]spa[NS][+SS][^DB][--]n[NPers][+3.Sg.Poss]

,	,[$,]
]
kay	kay[PrnDem]

españakuna	españa[NP][--]kuna[Num][+Pl]

casarakusqaku	casara[VRootES][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]sqaku[VPers][+3.Pl.IPst]

,	,[$,]

paykunataq	pay[PrnPers+3.Sg][--]kuna[Num][+Pl][^DB][--]taq[Amb][+Con_Intr]

churinkuta	churi[NRoot][=hijo][^DB][--]nku[NPers][+3.Pl.Poss][^DB][--]ta[Cas][+Acc]

wachasqaku	wacha[VRoot][=parir][^DB][--]sqaku[VPers][+3.Pl.IPst]

.	.[$,]

Inkaqa	Inka[NRoot][=inca][^DB][--]qa[Amb][+Top]

kay	kay[PrnDem]

españas	españa[NP][^DB][--]s[Amb][+IndE]

wañuchiyta	wañu[VRoot][=morir][^DB][--]chi[VDeriv][+Caus][^DB][--]y[NS][+Inf][^DB][--]ta[Cas][+Acc]

munaqtinsi	muna[VRoot][=querer][^DB][--]qti[NS][+DS][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]si[Amb][+IndE]

nisqa	ni[VRoot][=decir][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

:	:[$,]

-	-[$-]

Ama	Ama[Part_Neg_Imp]

wañuchiwaychischu	wañu[VRoot][=morir][^DB][--]chi[VDeriv][+Caus][^DB][--]wa[VPers][+1.Obj][^DB][--]ychis[VPers][+2.Pl.Subj.Imp][^DB][--]chu[Amb][+Intr_Neg]

.	.[$,]

Qori	Quri[NRoot][=oro]

choqllotataqsi	choqllotataqsi	+?

caballonkunaman	caballo[NRootES][^DB][--]n[NPers][+3.Sg.Poss][--]kuna[Num][+Pl][^DB][--]man[Cas][+Dat_Ill]

qoyacheq	qu[VRoot][=dar][--]ya[VDeriv][+Aff][^DB][--]chi[VDeriv][+Caus][^DB][--]q[NS][+Ag]

:	:[$,]

-	-[$-]

Khaynatan	Khayna[PrnDem][^DB][--]ta[Cas][+Acc][^DB][--]n[Amb][+DirE]

qorita	quri[NRoot][=oro][^DB][--]ta[Cas][+Acc]

qosaykiku	qu[VRoot][=dar][^DB][--]sqaykiku[VPers][+1.Pl.Excl.Subj_2.Sg.Obj.Fut]

,	,[$,]

pero	pero[NRootES]

ama	ama[Part_Neg_Imp]

wañuchiwaychischu	wañu[VRoot][=morir][^DB][--]chi[VDeriv][+Caus][^DB][--]wa[VPers][+1.Obj][^DB][--]ychis[VPers][+2.Pl.Subj.Imp][^DB][--]chu[Amb][+Intr_Neg]

.	.[$,]

Bueno	Bueno[SP]

,	,[$,]

totalmente	totalmente[SP]

ambicionaspas	ambiciona[VRootES][^DB][--]spa[NS][+SS][^DB][--]s[Amb][+IndE]

españakunaqa	españa[NP][--]kuna[Num][+Pl][^DB][--]qa[Amb][+Top]

Inkanchista	Inka[NRoot][=inca][^DB][--]nchis[NPers][+1.Pl.Incl.Poss][^DB][--]ta[Cas][+Acc]

wañuchisqaku	wañu[VRoot][=morir][^DB][--]chi[VDeriv][+Caus][^DB][--]sqaku[VPers][+3.Pl.IPst]

.	.[$,]

Inkakunaqa	Inka[NRoot][=inca][--]kuna[Num][+Pl][^DB][--]qa[Amb][+Top]

manan	mana[Part_Neg][^DB][--]n[Amb][+DirE]

papelta	papel[NRootES][^DB][--]ta[Cas][+Acc]

reqsirankuchu	riqsi[VRoot][=conocer][^DB][--]ra[Tns][+NPst][--]nku[VPers][+3.Pl.Subj][^DB][--]chu[Amb][+Intr_Neg]

,	,[$,]

qelqata	qilqa[NRoot][=letra][^DB][--]ta[Cas][+Acc]

,	,[$,]

taytacha	tayta[NRoot][=padre][--]cha[NDeriv][+Dim]

papelta	papel[NRootES][^DB][--]ta[Cas][+Acc]

qoyta	qu[VRoot][=dar][^DB][--]y[NS][+Inf][^DB][--]ta[Cas][+Acc]

munaqtinpis	muna[VRoot][=querer][^DB][--]qti[NS][+DS][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]pi[Cas][+Loc][^DB][--]s[Amb][+IndE]

paykuna	pay[PrnPers+3.Sg][--]kuna[Num][+Pl]

rechazasqaku	rechaza[VRootES][^DB][--]sqaku[VPers][+3.Pl.IPst]

;	;[$,]

porque	porque[NRootES]

paykunaqa	pay[PrnPers+3.Sg][--]kuna[Num][+Pl][^DB][--]qa[Amb][+Top]

mana	mana[Part_Neg]

noticiasta	noticiasta	+?

papelpichu	papel[NRootES][^DB][--]pi[Cas][+Loc][^DB][--]chu[Amb][+Intr_Neg]

apachinakuranku	apa[VRoot][=llevar][^DB][--]chi[VDeriv][+Caus][--]na[VDeriv][+Rzpr][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]ra[Tns][+NPst][--]nku[VPers][+3.Pl.Subj]

,	,[$,]

sino	sino[Part_Contr]

wik'uña	wik'uña[NRoot][=vicuña]

q'aytukunallapi	q'aytu[NRoot][=hilo,nervio][--]kuna[Num][+Pl][^DB][--]lla[Amb][+Lim_Aff][^DB][--]pi[Cas][+Loc]

;	;[$,]

mana	mana[Part_Neg]

allin	allin[NRoot][=bueno]

noticiakunapaq	noticia[NRootES][--]kuna[Num][+Pl][^DB][--]paq[Cas][+Ben]

yana	yana[NRoot][=negro]

q'aytukunapi	q'aytu[NRoot][=hilo,nervio][--]kuna[Num][+Pl][^DB][--]pi[Cas][+Loc]

,	,[$,]

allin	allin[NRoot][=bueno]

noticiakunapaqta	noticia[NRootES][--]kuna[Num][+Pl][^DB][--]paq[Cas][+Ben][^DB][--]ta[Cas][+Acc]

karan	ka[VRoot][=ser][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

yuraq	yuraq[NRoot][=blanco]

q'aytukuna	q'aytu[NRoot][=hilo,nervio][--]kuna[Num][+Pl]

.	.[$,]

Kay	Kay[PrnDem]

q'aytukunan	q'aytu[NRoot][=hilo,nervio][--]kuna[Num][+Pl][^DB][--]n[Amb][+DirE]

karan	ka[VRoot][=ser][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

libro	libro[NRootES]

hina	hina[Part_Sim]

,	,[$,]

pero	pero[NRootES]

españakuna	españa[NP][--]kuna[Num][+Pl]

mana	mana[Part_Neg]

kananta	ka[VRoot][=ser][^DB][--]na[NS][+Obl][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]ta[Cas][+Acc]

munasqakuchu	muna[VRoot][=querer][^DB][--]sqaku[VPers][+3.Pl.IPst][^DB][--]chu[Amb][+Intr_Neg]

hinaspa	hina[VRoot][=hacer_así,ser_así][^DB][--]spa[NS][+SS]

Inkaman	Inka[NRoot][=inca][^DB][--]man[Cas][+Dat_Ill]

huk	huk[NRootNUM]

papelta	papel[NRootES][^DB][--]ta[Cas][+Acc]

qosqaku	qu[VRoot][=dar][^DB][--]sqaku[VPers][+3.Pl.IPst]

:	:[$,]

-	-[$-]

Kay	Kay[PrnDem]

papelmi	papel[NRootES][^DB][--]mi[Amb][+DirE]

riman	rima[VRoot][=hablar][^DB][--]n[VPers][+3.Sg.Subj]

,	,[$,]

-	-[$-]

nispa	ni[VRoot][=decir][^DB][--]spa[NS][+SS]

:	:[$,]

-	-[$-]

Maytaq	May[PrnInterr][=dónde][^DB][--]taq[Amb][+Con_Intr]

rimasqan	rima[VRoot][=hablar][^DB][--]sqa[NS][+Perf][^DB][--]n[NPers][+3.Sg.Poss]

?	?[$,]

Sonseras	Sonseras[NRootES]

;	;[$,]

engañayta	ingaña[VRootES][^DB][--]y[NS][+Inf][^DB][--]ta[Cas][+Acc]

munawankichis	muna[VRoot][=querer][^DB][--]wa[VPers][+1.Obj][^DB][--]nkichis[VPers][+2.Pl.Subj]

.	.[$,]

Panpamantaq	Panpa[NRoot][=suelo,tierra][^DB][--]man[Cas][+Dat_Ill][^DB][--]taq[Amb][+Con_Intr]

papelta	papel[NRootES][^DB][--]ta[Cas][+Acc]

wikch'upusqa	wikch'u[VRoot][=echar][--]pu[VDeriv][+Rgr_Iprs][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

.	.[$,]

Inkaqa	Inka[NRoot][=inca][^DB][--]qa[Amb][+Top]

manan	mana[Part_Neg][^DB][--]n[Amb][+DirE]

papelkunamanta	papel[NRootES][--]kuna[Num][+Pl][^DB][--]manta[Cas][+Abl]

entenderanchu	entende[VRootES][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj][^DB][--]chu[Amb][+Intr_Neg]

.	.[$,]

Imaynatataq	Imayna[PrnInterr][=cómo][^DB][--]ta[Cas][+Acc][^DB][--]taq[Amb][+Con_Intr]

papel	papel[NRootES]

rimanman	rima[VRoot][=hablar][^DB][--]n[VPers][+3.Sg.Subj][--]man[Mod][+Pot]

karan	ka[VRoot][=ser][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

,	,[$,]

manataq	mana[Part_Neg][^DB][--]taq[Amb][+Con_Intr]

leeyta	lee[VRootES][^DB][--]y[NS][+Inf][^DB][--]ta[Cas][+Acc]

yacharanchu	yacha[VRoot][=saber,habitar][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj][^DB][--]chu[Amb][+Intr_Neg]

chayri	chay[PrnDem][^DB][--]ri[Amb][+QTop]

?	?[$,]

Khaynatan	Khayna[PrnDem][^DB][--]ta[Cas][+Acc][^DB][--]n[Amb][+DirE]

Inkanchis	Inka[NRoot][=inca][^DB][--]nchis[NPers][+1.Pl.Incl.Poss]

wañuchichikusqa	wañu[VRoot][=morir][^DB][--]chi[VDeriv][+Caus][^DB][--]chi[VDeriv][+Caus][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

.	.[$,]

